state_abbr,year,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,total_crime,crime_rate
AL,2017,4875120,25469,419,2001,4233,18816,143774,31270,99707,12797,338486,6.943131656
AL,2018,4887681,25567,383,2032,4047,19105,138702,29101,96328,13273,328538,6.721756187
AL,2019,4903185,25046,358,2068,3941,18679,131133,26079,92477,12577,312358,6.370512228
AK,2017,739786,6338,62,1074,952,4250,26203,4167,17782,4254,65082,8.79740898
AK,2018,735139,6555,47,1212,896,4400,24345,3985,16364,3996,61800,8.406573451
AK,2019,731545,6343,69,1088,826,4360,21294,3563,15114,2617,55274,7.555789459
AZ,2017,7048876,35647,422,3622,7440,24163,204999,37722,148251,19026,481292,6.827925474
AZ,2018,7158024,34053,383,3605,6509,23556,192730,31787,141789,19154,453566,6.336469394
AZ,2019,7278717,33141,365,3662,6410,22704,177638,28699,130788,18151,421558,5.791652567
AR,2017,3002997,16996,249,2140,1998,12609,94419,22369,64795,7255,222830,7.420253833
AR,2018,3009733,16904,222,2341,1593,12748,89177,19520,62350,7307,212162,7.049196723
AR,2019,3017804,17643,242,2331,1557,13513,86250,18095,60735,7420,207786,6.885337815
CA,2017,39399349,178597,1830,14724,56625,105418,987063,176679,642019,168365,2331320,5.917153606
CA,2018,39461588,176604,1739,15506,54328,105031,941644,164645,621779,155220,2236496,5.667526608
CA,2019,39512223,174331,1690,14799,52301,105541,921114,152555,626802,141757,2190890,5.54484115
CO,2017,5615902,20901,222,4021,3868,12790,152032,22618,107470,21944,345866,6.158690091
CO,2018,5691287,22851,215,4328,3781,14527,154292,21757,110518,22017,354286,6.225059464
CO,2019,5758736,21938,218,3872,3663,14185,149189,20064,107012,22113,342254,5.943213928
CT,2017,3573880,8190,105,850,2813,4422,63646,8906,47418,7322,143672,4.020056633
CT,2018,3571520,7485,86,873,2205,4321,59356,7983,44181,7192,133682,3.743000179
CT,2019,3565287,6546,104,771,1929,3742,50862,6441,38457,5964,114816,3.220385904
DE,2017,957078,4377,51,351,1082,2893,23430,3960,18108,1362,55614,5.810811658
DE,2018,965479,4079,46,334,861,2838,22405,3154,17780,1471,52968,5.486188721
DE,2019,973764,4115,48,310,790,2967,21931,2968,17359,1604,52092,5.349550815
DC,2019,705749,7403,166,345,2713,4179,30821,1843,26645,2333,76448,10.83217971
DC,2017,695691,6976,116,444,2625,3791,29736,1809,25340,2587,73424,10.55411095
DC,2018,701547,6995,160,450,2415,3970,30726,1788,26345,2593,75442,10.75366298
FL,2018,21244317,81980,1107,8438,16884,55551,486017,71933,372919,41165,1135994,5.34728417
FL,2019,21477737,81270,1122,8456,16217,55475,460846,63396,358402,39048,1084232,5.048166853
FL,2017,20976812,85606,1057,7936,18597,58016,527125,88835,395375,42915,1225462,5.841983996
GA,2017,10413055,37118,681,2646,9844,23947,297651,55363,216252,26036,669538,6.429794138
GA,2018,10511131,35619,647,2798,8499,23675,277803,46816,205631,25356,626844,5.963620851
GA,2019,10617423,36170,654,2922,7961,24633,252249,39506,188967,23776,576838,5.432937917
HI,2017,1424203,3577,39,567,1077,1894,40392,5549,29574,5269,87938,6.174541129
HI,2018,1420593,3622,40,709,951,1922,41027,5709,29600,5718,89298,6.285966494
HI,2019,1415872,4042,48,765,1131,2098,40228,5340,29634,5254,88540,6.253390137
IA,2017,3143637,9038,98,1305,1269,6366,65652,14711,45441,5500,149380,4.7518209
IA,2018,3148618,8303,70,1126,989,6118,57024,12433,39498,5093,130654,4.149566572
IA,2019,3155070,8410,60,1164,863,6323,54699,11710,37847,5142,126218,4.000481764
ID,2017,1718904,4111,42,755,222,3092,28557,5837,20570,2150,65336,3.801026701
ID,2018,1750536,4196,34,927,195,3040,25822,4990,18876,1956,60036,3.429578141
ID,2019,1787065,4000,35,809,155,3001,21793,3927,16295,1571,51586,2.886632551
IL,2017,12786196,55777,983,5424,17731,31639,255108,43355,190860,20893,621770,4.862822375
IL,2018,12723071,52343,902,6106,14251,31084,246679,39317,187517,19845,598044,4.700468936
IL,2019,12671821,51561,832,6078,12464,32187,233984,34433,180776,18775,571090,4.506771363
IN,2017,6660082,26307,413,2612,7035,16247,158932,29799,114395,14738,370478,5.562664243
IN,2018,6695497,25009,418,2486,5737,16368,146948,25894,105861,15193,343914,5.136496962
IN,2019,6732219,24966,377,2475,5331,16783,132694,21795,97176,13723,315320,4.683745434
KS,2017,2910689,11654,134,1504,1633,8383,79387,13102,58891,7394,182082,6.255632258
KS,2018,2911359,12861,122,1664,1420,9655,77449,12792,56726,7931,180620,6.203975532
KS,2019,2913314,11968,105,1416,1293,9154,67428,9984,50165,7279,158792,5.450562487
KY,2017,4453874,10292,265,1817,2967,5243,95899,20535,65006,10358,212382,4.768477959
KY,2018,4461153,9719,250,1875,2469,5125,89235,17462,61313,10460,197908,4.436252242
KY,2019,4467673,9701,221,1572,2161,5747,84769,15443,59130,10196,188940,4.229047202
LA,2017,4670818,25986,576,1850,5385,18175,157272,34135,112042,11095,366516,7.846933878
LA,2018,4659690,25314,533,2105,4600,18076,152996,31291,110066,11639,356620,7.653298825
LA,2019,4648794,25537,544,2273,4025,18695,146993,26918,109359,10716,345060,7.422570241
MA,2017,6863246,24318,172,2199,4874,17073,97977,16916,73573,7488,244590,3.5637656
MA,2018,6882635,23424,138,2465,4084,16737,87658,14095,66968,6595,222164,3.227891643
MA,2019,6892503,22578,152,2204,3613,16609,81317,12341,62844,6132,207790,3.014724839
MD,2017,6024891,30321,558,1712,11189,16862,134705,23526,97657,13522,330052,5.4781406
MD,2018,6035802,28330,491,1991,9716,16132,122945,18910,91887,12148,302550,5.012589876
MD,2019,6045680,27456,542,1913,9203,15798,117901,16862,89780,11259,290714,4.808623678
ME,2017,1335063,1610,23,470,249,868,20142,3337,16012,793,43504,3.258572816
ME,2018,1339057,1500,23,447,228,802,18201,2712,14712,777,39402,2.942518504
ME,2019,1344212,1548,20,516,188,824,16743,2350,13667,726,36582,2.721445724
MI,2017,9976447,44883,569,7110,6508,30696,179839,35833,124410,19596,449444,4.505050746
MI,2018,9984072,45176,555,7901,5638,31082,166186,31834,116876,17476,422724,4.23398389
MI,2019,9986857,43686,556,7235,5350,30545,158296,28572,111980,17744,403964,4.044956286
MN,2017,5568155,13345,114,2405,3627,7199,122430,18828,93602,10000,271550,4.876839815
MN,2018,5606249,12403,107,2475,2946,6875,112186,16206,85849,10131,249178,4.444647393
MN,2019,5639632,13332,117,2448,3149,7618,117236,15927,90092,11217,261136,4.630373046
MO,2017,6108612,32450,599,2737,6362,22752,173380,30086,123356,19938,411660,6.739010433
MO,2018,6121623,30696,599,2935,5206,21956,162698,27345,115506,19847,386788,6.318389747
MO,2019,6137428,30380,568,2917,4959,21936,161946,26414,114460,21072,384652,6.267315885
MS,2017,2989663,7661,190,658,2492,4321,82764,22449,55968,4347,180850,6.04917678
MS,2018,2981020,7929,214,596,1700,5419,71701,20355,46201,5145,159260,5.342466672
MS,2019,2976149,8272,332,747,1700,5493,70707,18660,46300,5747,157958,5.307462765
MT,2017,1053090,3937,41,639,234,3023,27294,3623,21073,2598,62462,5.931306916
MT,2018,1060665,4040,37,569,270,3164,26787,3329,20641,2817,61654,5.812768405
MT,2019,1068778,4328,27,624,205,3472,23440,2887,18176,2377,55536,5.196214742
NC,2017,10270800,38043,622,1944,9884,25593,265483,65247,184119,16117,607052,5.910464618
NC,2018,10381615,36980,574,2633,7573,26200,243323,57450,169376,16497,560606,5.399988345
NC,2019,10488084,38995,632,3247,7599,27517,247236,54447,174728,18061,572462,5.45821334
ND,2017,755176,2133,10,406,183,1534,16653,2947,11944,1762,37572,4.975264044
ND,2018,758080,2154,18,409,158,1569,15621,2742,11088,1791,35550,4.689478683
ND,2019,762062,2169,24,437,179,1529,15066,2608,10666,1792,34470,4.523254013
NE,2017,1917575,5979,42,1191,1020,3726,43856,6513,32064,5279,99670,5.19771065
